Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Ideal_Season,Age_Group_Suitability,Budget_Category,Recommended_Duration_Days,Ideal_Group_Size,Cluster
0,Northern,Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0,Yes,,Historical,Yes,2.6,Evening,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
1,Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2.0,4.5,30,Yes,,Historical,Yes,0.4,Afternoon,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
2,Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5.0,4.6,60,Yes,,Religious,No,0.4,Afternoon,"Winter,Spring",All Age Groups,Mid-Range,1 Day,Any,6
3,Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2.0,4.1,50,Yes,Monday,Environmental,Yes,0.27,Evening,"Winter,Spring","Families,Kids,Adults",Mid-Range,0.5 Day,2-4 people,2
4,Northern,Delhi,Delhi,Jantar Mantar,Observatory,1724,2.0,4.2,15,Yes,,Scientific,Yes,0.31,Morning,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
5,Northern,Delhi,Delhi,Chandni Chowk,Market,1700,3.0,4.2,0,Yes,Sunday,Market,Yes,0.25,Afternoon,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
6,Northern,Delhi,Delhi,Lotus Temple,Temple,1986,1.0,4.5,0,Yes,Monday,Religious,Yes,0.59,Evening,"Winter,Spring",All Age Groups,Budget,0.5 Day,Any,13
7,Northern,Delhi,Delhi,Red Fort,Fort,1648,2.0,4.5,35,Yes,,Historical,Yes,1.5,Afternoon,"Winter,Spring",All Age Groups,Budget,0.5 Day,Any,13
8,Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,1.0,4.2,0,Yes,,Historical,Yes,0.41,Afternoon,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
9,Northern,Delhi,Delhi,Sunder Nursery,Park,1600,2.0,4.6,0,Yes,,Botanical,Yes,0.16,Afternoon,"Winter,Spring","Families,Kids,Adults",Budget,0.5 Day,Any,2
